id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
9994,2,1,11,2,2,508,2,5,2,5,3,2,3,3,4,4,4,5,4,3,0,4,0
31126,2,0,11,1,2,991,2,2,2,2,5,2,5,5,4,5,3,2,4,5,0,0,0
64623,2,1,33,1,1,2323,4,4,5,4,1,4,3,2,2,2,4,4,2,2,0,0,0
83067,2,1,54,1,1,1086,3,2,2,2,1,2,2,3,3,3,3,1,3,2,2,6,0
52840,2,1,17,1,1,1721,1,1,1,1,3,3,3,3,1,5,4,3,5,3,0,0,1
33579,1,1,26,1,2,474,5,3,3,3,5,5,5,5,2,4,5,3,2,5,0,0,1
23257,1,0,12,1,2,783,5,5,5,2,4,5,4,4,2,1,1,5,4,4,0,0,1
123746,1,1,14,2,2,96,5,1,0,4,1,0,1,1,2,2,4,1,3,1,0,0,1
108791,2,1,28,1,1,1887,1,1,1,1,5,5,5,5,3,3,1,5,2,5,0,0,1
39270,2,1,53,1,1,3329,2,2,5,2,5,2,2,1,1,1,2,2,1,4,0,0,0
59542,1,1,28,1,1,854,3,3,3,3,4,4,4,4,5,4,4,3,4,4,7,2,1
102617,1,1,56,2,2,1294,2,5,2,3,1,2,1,1,3,2,5,5,5,1,7,0,0
117473,2,0,28,1,1,507,4,4,4,3,4,4,5,4,4,5,4,5,5,4,0,0,1
128627,2,0,39,1,1,954,3,2,2,4,2,2,4,2,2,2,3,2,3,2,0,0,0
90916,1,1,37,1,1,194,5,4,5,5,4,2,1,5,5,5,3,5,5,1,0,0,1
58588,2,0,32,1,1,334,2,3,3,4,1,3,1,1,4,2,4,4,4,1,23,1,0
108194,2,0,57,1,3,990,2,2,2,3,2,5,5,2,3,3,4,5,2,5,141,1.9,0
81222,1,1,53,2,2,1426,3,5,3,3,1,3,1,1,2,1,3,1,5,1,0,4,0
78703,2,1,30,1,1,2052,5,5,5,5,4,4,4,4,3,2,4,3,5,4,0,6,1
122865,2,1,52,1,1,3708,0,0,0,4,4,5,5,1,1,1,1,3,1,4,4,0,1
2642,1,1,31,1,1,597,1,1,1,1,3,3,3,3,4,2,5,5,4,3,10,2,1
4208,2,0,24,1,1,888,5,0,5,1,3,5,3,3,3,4,5,5,5,3,0,2,1
63823,1,1,52,2,1,1192,3,5,4,3,3,4,4,1,1,4,1,4,1,5,0,0,0
124789,2,0,24,1,2,280,4,4,4,4,5,4,5,5,3,4,5,5,5,5,0,0,1
13189,2,1,46,1,1,419,3,3,3,3,1,2,5,4,4,5,4,3,4,2,0,2,1
104125,1,1,44,1,1,3322,4,4,4,4,2,4,4,3,3,3,3,5,3,5,7,0,1
126684,1,1,54,1,1,2402,4,4,4,4,3,5,4,4,4,4,4,4,4,5,0,0,1
81110,1,0,24,1,2,991,1,1,1,3,5,1,5,5,5,4,4,4,5,5,0,0,0
83716,2,1,17,1,3,577,3,4,4,4,3,3,2,3,4,2,3,4,3,3,10,4,0
26625,2,0,23,1,2,581,2,0,2,4,5,2,2,5,3,2,2,1,4,5,2,0,0
42078,2,1,53,1,3,106,5,2,2,2,2,1,1,5,5,5,5,2,5,5,0,0,1
82735,2,0,29,1,1,409,5,5,5,2,5,0,5,5,5,4,4,5,5,5,0,0,1
100944,2,1,52,1,1,1204,4,4,4,4,5,4,4,4,4,4,4,4,4,3,10,2,1
22053,2,1,27,1,1,304,4,4,4,4,5,5,5,5,2,2,3,3,4,5,0,0,1
94440,2,1,48,1,1,239,3,4,3,3,5,5,4,4,4,4,4,3,4,5,7,1,1
122165,1,1,55,1,1,544,4,4,4,4,2,4,5,5,5,4,5,5,5,4,42,3,1
113676,2,1,42,2,2,386,2,5,2,5,4,2,3,2,2,2,2,5,2,4,0,1,0
29807,1,1,35,1,1,3483,3,3,3,3,4,2,2,4,4,4,4,5,4,4,0,5,1
56527,1,1,28,1,1,1023,3,3,4,3,4,4,4,4,3,2,4,5,4,4,30,4,1
119942,2,0,30,1,2,1009,3,3,3,1,5,3,5,5,1,3,2,4,2,5,0,2,0
53059,1,1,59,2,2,1208,1,1,1,4,5,1,5,5,1,1,3,1,4,5,0,0,0
56055,1,1,25,2,2,2475,3,5,3,2,3,3,3,3,3,2,5,5,4,3,0,0,0
12242,2,1,43,1,1,1832,2,2,2,2,4,4,2,4,4,4,5,5,4,3,0,0,1
95109,1,1,68,2,2,239,3,4,3,1,5,3,5,5,4,4,4,5,5,5,4,0,0
17092,1,1,23,1,1,3386,2,5,5,5,2,2,2,1,2,4,4,2,1,2,164,1.7,0
81119,1,1,52,1,1,3925,5,5,5,5,4,3,4,3,3,3,3,2,3,4,0,0,1
9702,1,1,13,2,2,212,2,3,2,3,4,2,4,4,2,3,2,1,4,4,43,3,0
